Task 1 i,Task 1 m,Task 2 i,Task 2 m,Task 3 i,Task 3 m,Task 4 i,Task 4 m,Task 6 i,Task 6 m,Task 7 i,Task 7 m,Task 8 i,Task 8 m,Task 9 i,Task 9 m,Task 11 i,Task 11 m,Task 12 i,Task 12 m,Task 13 i,Task 13 m,Task 14 i,Task 14 m,Task 16 i,Task 16 m,Task 17 i,Task 17 m,Task 18 i,Task 18 m,Task 19 i,Task 19 m,Task 20 i,Task 20 m
go to the blue ball then the yellow ball,go to a blue ball,pick up the red ball put it next to yellow box,pick up the red ball and put a red ball next to the yellow box,go to the red box,go to a red box,go to the purple key,go to the purple key,pick up green box put it next to green ball,pick up a green box and put the green box next to the green ball,go to the grey ball,go to the grey ball,go to the red ball,go to a red ball,go to the grey key,go to the grey key,pick up blue key open seven doors,pick up a blue key and pick up a green key and open a blue door,pick up green key pick up yellow box go to grey ball,pick up the green key and go to the green key and put the yellow box next to a grey ball,pick up grey ball then pick up yellow ball,"go to a grey ball, then pick up the yellow ball",pick up yellow box,pick up the yellow box,pick up blue ball go to purple ball,pick up the blue ball and go to a purple ball,pick up purple box go to red ball open green doors go to green key,go to a purple key and go to the red ball and go to a green door,pick up grey ball  pick up blue key put blue key next to yellow box pick up red box,pick up the grey ball and pick up the blue key and put a blue key next to a yellow box,pick up green box,pick up a green box,pick up red box open blue door go to grey ball,go to a red box and open the blue door and go to the grey ball
go the green ball,go to the green ball,put the red ball by the yellow door,put a red ball next to the yellow box,go to the red door,go to a red box,go between the yellow key and the purple ball,go to a yellow ball and go to a purple key,move the green door infront of the green ball,go to the green ball,move to the grey ball,go to the grey ball,go in front of the red ball,go to a red ball,go to the grey key,go to the grey key,pick up and deposit the blue key then pick up the green key,"pick up a blue key, then go to the blue box and pick up the green key",pick up and move the yellow gate,pick up a yellow box after you go to the green box and open the blue door,pick up and move the yellow ball to the side,"go to a yellow ball, then pick up the yellow ball",pick up and drop the yellow gate then go to the red gate,"pick up the yellow box, then go to a red door",pick up and move the blue ball then go to the purple ball,"pick up a blue ball, then go to the purple ball",pick up gray gate and go to the green key,"open a green door and go to the green door, then put the grey box next to a green key",pick up the blue key and put it next to the yellow door,open the blue door and put the blue key next to the yellow box and go to a yellow key,pick up green gate and head toward green door,"pick up the green box, then put a green box next to a green door",go to infront of the grey ball,go to the grey ball
go to the green ball,go to the green ball,pick up the red ball and put it beside the yellow box,put a red ball next to the yellow box,go to the red box,go to a red box,go to the purple key,go to the purple key,pick up the green box and place it beside the green ball,pick up a green box and put the green box next to the green ball,go to the grey ball,go to the grey ball,find and go to the red ball,go to a red ball,go to a grey ball then go to a grey key,go to a grey ball and go to a grey key,pick up and drop a blue key go through a green door purple yellow door green door green door green door pick up green key go through blue doorpick up a green key,pick up a green key and go to a green box and go to a blue door and go to the purple box,go through red door grey door blue door grey door pick up yellow box go to grey ball,"go to a red door, then open a grey door and put the yellow box next to a grey ball",go through grey door grey door move purple ball go through purple door open green door go through green door green door move yellow ball,"go to a purple door and go to a grey ball, then open a green door",pick up and drop yellow box go to red door,pick up a yellow box and go to a red door,open red door move blue ball go through green door go to purple ball,open a red door and go to the green ball and go to the purple ball,go through purple door pick up grey box go through grey door blue door go to red ball go through green door green door backtrack through last three doors open green door head to green key,"go to a purple ball, then go to the green door, then put the grey box next to a green key",go through grey door purple door blue door purple door move grey ball pick up blue key drop blue key beside yellow box go through grey door pick up red box,go to a purple door and put the blue key next to the yellow box and open a grey door,go through blue door go to yellow door go to yellow box pick up green box go to yellow box,go to a blue door and go to a yellow box and go to the green box,go through red door red door pick up and drop red box go to blue key go through blue door blue door backtrack through last two doors go through ppurple door go to grey ball,"go to a red door, then go to the blue key, then go to the grey ball"
go to the green ball,go to the green ball,grab the red ball and put it next to the yellow box,pick up the red ball and put a red ball next to the yellow box,go to the red box,go to a red box,go to the purple key,go to the purple key,pick up the green box and put it next to the green ball,pick up a green box and put the green box next to the green ball,go to the grey ball,go to the grey ball,go to the red ball,go to a red ball,go to the grey key,go to the grey key,pick up the green key and go to the blue ball,pick up the green key and go to a blue ball,grab the yellow box and go to the purple key,pick up the yellow box and go to a purple key,go to the yellow door,go to a yellow door,go to the red door,go to a red door,go to the purple ball,go to a purple ball,grab the grey box and then the green key,pick up the grey box and put the grey box next to a green key,grab the blue key and put it next to the yellow box,pick up the blue key and put a blue key next to the yellow box,grab the green box then go to the green door,"pick up the green box, then put a green box next to a green door",go to the grey ball,go to the grey ball
go to the green ball,go to the green ball,put the red ball near to the yellow box,put a red ball next to the yellow box,open the blue door then go to the red box,"open the blue door, then go to a red box",go to the purple key,go to the purple key,put the green box near to the green ball,put the green box next to a green ball,go to the nearest gray ball,go to the grey ball,open the purple door then go to the red ball,"open the purple door, then go to a red ball",open the gray door and then go to the gray key,"open a grey door, then go to the grey key",open the green door the pick up the green key,open the green door and pick up the green key,open the purple door then pick up the yellow box,open the blue door and go to the purple ball and pick up a yellow box,open the green door pick up the yellow ball then go to the yellow door,"open the green door and pick up the yellow ball, then go to a yellow door",go to the red door,go to a red door,open the red door and then open the green door go to the purple ball,"open a red door, then open a green door and go to the purple ball",open the purple door pick up the gray box and then open the green door,"open the purple door and pick up the grey box, then open a green door",put the blue key near to the yellow box and then pick up the red box,"put the blue key next to the yellow box, then pick up a red box",pick up the green box,pick up a green box,go to the gray ball,go to the grey ball
pick green ball,go to the green ball,pick red ball,pick up the red ball,open three doors and pick red ball,"go to the grey ball, then open the blue door and go to the red box",pick purple key,go to the purple key,go to green door,go to the green box,go to purple ball,go to a blue ball,open green door and pick up red ball,open the green door and go to the red ball,open two doors and pick up key,"open a grey door, then go to a grey key",open door and pick up blue balls,open the blue door and go to the blue ball,open the door and move around ,"open the red door, then open the blue door",open the door and pick blue ball,"go to a blue key, then open the grey door and pick up a yellow ball",go to red door,go to a red door,open the door and pick blue ball,"open the red door, then pick up a blue ball",open the door and go to green door,open the green door and go to the green door,open the door and pick up blue key and close the red door,"open the blue door, then pick up the blue key and go to a red box",open the door and close the green door,"open a blue door, then go to a green box, then put the green box next to the green door",open green and red doors,"open the red door, then go to the green box"
go to green ball,go to the green ball,pick up red ball and put near yellow box,pick up the red ball and put a red ball next to the yellow box,go through blue door to red box,open a blue door and go to the red box,go to purple key,go to the purple key,take green box and put it near green ball,"go to the green box, then put a green box next to the green ball",go to gray ball near yellow ball and red box,"go to a blue ball, then go to a red box",go through purple door to yellow ball,go to the yellow door and go to a purple ball,go to gray key,go to the grey key,go through green door get green key go through blue door go to blue ball,go to the green door and go to a green key and go to the blue ball,get yellow box and go to purple key,go to the yellow box and go to the purple key,pick up yellow ball put down go to green door,go to the green door and go to a yellow ball,pick up yellow ball put down go to red door,"pick up the yellow box, then go to a red door",open green door go to purple ball,open a green door and go to the purple ball,go to gray boxes,go to a grey box,get red box,go to a red box,get green box,go to the green box,go to gray ball,go to the grey ball
move to green ball,go to the green ball,drop red ball next to yellow box,"go to the red ball, then put a red ball next to a yellow box",stand next to red and green box,go to a red box and go to the green box,stand next to purple key,go to the purple key,pick up green box and put it next to green ball,pick up a green box and put the green box next to the green ball,move to grey ball and red box,go to a grey ball and go to a red box,stand next to red and grey ball,go to the red ball and go to a grey ball,stand next to grey key,go to the grey key,find green key then go to grey box,"go to the green door, then put the green key next to a grey box",pick up yellow box and move to purple key,pick up a yellow box and go to a purple key,move yellow ball from blocking yellow door,go to the yellow ball and go to the yellow door,pick up and drop yellow box then stand next to red door,pick up a yellow box and go to a red door,stand next to purple ball,go to a purple ball,pick up grey box and move next to other grey box,pick up a grey box and go to a grey box after you go to a grey box,pick up blue key and move to yellow box then pick up orange box,"go to a yellow box, then pick up a blue key and go to a yellow key",pick up green box,pick up a green box,find grey ball,go to the grey ball
go to green ball,go to the green ball,go to red ball,go to the red ball,go to the red box near to green box,go to a red box and go to the green box,go to purple key,go to the purple key,take the green box and bring it to the starting position,pick up a green box and put the green box next to the green ball,go to grey ball,go to the grey ball,go to red ball,go to a red ball,go to the grey key,go to the grey key,go to the green ball,go to the green box,move the yellow box,go to a yellow box,go to the yellow ball,go to the yellow ball,go to the purple ball near red box,go to a purple ball and go to the red door,go to purple ball near to purple box,go to the purple ball after you go to the red box,go to the green key,go to the green door and go to the purple key and go to the green door,go to the yellow key,go to the yellow key,go to the green door,go to the green box,go to the grey ball,go to the grey ball
go to the green circle,go to the green ball,go to the yellow door,put a red ball next to the yellow box,go to the red door,go to a red box,go to the purple key,go to the purple key,go to the green door,go to the green box,go to the gray circle,go to the blue ball and go to a grey ball,go to the red circle,go to a red ball,go to the gray key,go to the grey key,go to the blue ball,go to the blue ball,go to the purple key,go to a purple key,go to the bottom middle door,go to a grey door,go to the purple circle,go to a purple ball,go to the purple circle,go to a purple ball,go to the green key,go to the green door and go to the purple key and go to the green door,go to yellow key,go to the yellow key,go to green door ,go to the green box,go to gray ball,go to the grey ball
go to the green ball,go to the green ball,drop the red ball by the yellow box,put the red ball next to the yellow box after you go to a red ball,go to a red box,go to a red box,go to the purple key,go to the purple key,drop the green box next to the green ball,pick up the green box and put the green box next to a green ball after you go to a green ball,go to the grey ball,go to the grey ball,go to a red ball,go to a red ball,go to a grey key,go to the grey key,go to a grey box while carrying a green key after picking up the blue key,open a blue door and put a green key next to a grey box after you pick up the green key,go to a grey ball while carrying a yellow box after picking up the green key,pick up the green key and go to a grey key and put a yellow box next to a grey ball,go to a yellow door,go to a yellow door,go to the red door,go to a red door,go to a purple ball,go to a purple ball,carry a grey box to a green key,go to a grey box and put a grey box next to a green key,move a blue key to  yellow box then carry a red box into the next room,"go to a yellow box, then pick up a blue key and put a red box next to the blue door",carry a green box to a green door,"pick up the green box, then put a green box next to a green door",go to a grey ball after picking up a red box,go to a grey ball after you pick up a red box
go to the green ball,go to the green ball,put the red ball next to the yellow box,put a red ball next to the yellow box,go to a red box,go to a red box,go to the purple key,go to the purple key,put the green box next to the green ball,put the green box next to a green ball,go to a gray ball,go to the grey ball,go to the red ball,go to a red ball,go to a gray key,go to the grey key,pick up a green key and go to a blue ball,pick up the green key and go to a blue ball,pick up a yellow box and go to a gray ball,"go to a yellow box and pick up the yellow box, then put the yellow box next to a grey ball",go to a yellow door,go to a yellow door,pick up the yellow box and go to the red door,pick up a yellow box and go to a red door,go to a purple ball,go to a purple ball,pick up the gray box then go to the green key,open the green door and go to the green door and put the grey box next to a green key,put the blue key near a yellow box then pick up a red box,"put the blue key next to the yellow box, then pick up a red box",go to a yellow door then pick up a green box,"go to a yellow door, then pick up the green box",pick up a red box then go to a gray ball,"go to a red box, then pick up a red box, then pick up a grey ball"
go to the green ball,go to the green ball,put red ball near yellow box,put a red ball next to the yellow box,open purple door and go to the red box,open a purple door and go to the red box,go to the purple key,go to the purple key,put green box near green ball,put the green box next to a green ball,go to the gray ball,go to the grey ball,go to the red ball after open the green door,go to the red ball after you open a green door,go to the gray ball and go to the gray key,go to a grey ball and go to a grey key,pick green key and go to the blue box,pick up a blue key and go to a green box,pick up the yellow box and go to the gray ball,"go to a yellow box and pick up the yellow box, then put the yellow box next to a grey ball",open green door move blue ball and open yellow door after move yellow ball,"open a green door, then go to a yellow ball, then pick up a yellow ball",go to the red door after touch yellow box,go to the red door after you pick up the yellow box,move blue ball and go to the blue door,"go to a blue ball, then pick up a blue ball and go to the green door",pick gray box and go to the green key,open the green door and go to the green door and put the grey box next to a green key,put blue key near yellow box and pick red box,put a blue key next to a yellow box and pick up the red box,pick green box after open yellow door,"go to the yellow door, then go to the green box and pick up the green box",touch the red box and go to the gray ball,"go to the red box, then pick up a red box and go to the grey ball"
go to green ball,go to the green ball,pick up the red ball,pick up the red ball,open three door and go to red box,go to a red box,go to purple key,go to the purple key,pick the green door and place it at starting,"go to the green box, then pick up a green box",go to ball and next to black ball,go to a blue ball,open five doors to reach red ball,open a green door and open a purple door and go to a red ball,go to black ball and next go to purple key,"go to the grey ball, then go to the grey key",pick blue key and open the door,"pick up the blue key, then open the blue door",open the door and pass on through doors and pick the box,"open the red door, then open a blue door and pick up the yellow box",open the door and pick the blue ball,"go to a blue key, then open the grey door and pick up a yellow ball",open the red door,go to a red door,open the door and go blue ball,"open the red door, then pick up a blue ball",open green door and then enter blue door ,"open the blue door, then open a green door",pick up the blue key,pick up the blue key,go to green door,go to the green box,open red door and pick the red box,open the red door and open the red door and pick up a red box
go to green ball,go to the green ball,put red ball by yellow box,put a red ball next to the yellow box,go to red box,go to a red box,go to purple key,go to the purple key,put green box by green ball,go to the green ball and go to the green box,go to grey ball,go to the grey ball,go to red ball,go to a red ball,go to grey key,go to the grey key,go to blue ball,go to the blue ball,take yellow box to purple key,go to the yellow box and go to the purple key,move yellow ball,go to the yellow ball,go to red door,go to a red door,go to purple ball,go to a purple ball,go to green key,go to the green door,take red box,go to a red box,take green box to green door,go to the green box,go to grey ball,go to the grey ball
go to the green ball,go to the green ball,pick the red ball and put next to yellow box,pick up the red ball and put a red ball next to the yellow box,go through blue door and then to the the red box,"go to a blue door, then go to the red box",go to the purple key,go to the purple key,pick the green box and put next to the green ball,pick up a green box and put the green box next to the green ball,go to the gray ball next to the yellow ball,go to a blue ball,go to the red ball,go to a red ball,go through the gray door to the gray key,"open a grey door, then go to a grey key",go to the purple box,go to the purple box,pick the yellow box and go to the gray ball,"go to a yellow box, then pick up the yellow box and put a yellow box next to the grey ball",pick the yellow ball and move it to your right,go to a yellow ball and pick up the yellow ball,go to the red door,go to a red door,go to the purple ball through the green door ,go to the green door and go to the purple ball,go to the green key through the green door,open a green door and go to the purple key and go to a green door,pick the red box,pick up a red box,go through the blue door and pick the green box,go to a blue door and pick up the green box,go to the gray ball,go to the grey ball
go for the green ball,go to the green ball,take the red ball and place it next to the yellow box,put a red ball next to the yellow box,go to the red box,go to a red box,go to the purple key,go to the purple key,take the green box and place it next to the green key,"go to a green box, then go to the blue key and put a green box next to the green ball",go to the gray ball,go to the grey ball,go for the red ball,go to a red ball,go to the gray ball and then to the gray key,go to a grey ball and go to a grey key,take the blue key release it and then take the green key,pick up a blue key and go to the green key,take the green key release it take the yellow box and go to the purple key,pick up a green key and go to the purple key and go to the yellow box,take the yellow ball next to the yellow door,go to the yellow ball and go to the yellow door,take the yellow box release it and go to the red door,pick up a yellow box and go to a red door,go for the purple ball,go to a purple ball,take the gray box and look for another gray box,"go to a grey box, then pick up a grey box and go to the yellow box",take the blue key place it next to the yellow box and take the red box,put a blue key next to a yellow box and go to a red box,take the green box and take it near the green door,"go to a green box, then put a green box next to the green door",take the red box release it and go to the gray ball,pick up a red box and go to a grey ball
